Date(String)	Ticker(String)	Open(Double)	High(Double)	Low(Double)	Close(Double)	Volume(Integer)
20100701	POM	15.7	15.77	15.4	15.62	25564
20100702	POM	15.63	15.79	15.61	15.66	14679
20100706	POM	15.87	16.03	15.74	15.91	17817
20100707	POM	15.92	16.41	15.88	16.41	16817
20100708	POM	16.5	16.68	16.45	16.67	18732
20100709	POM	16.63	16.69	16.4	16.68	11967
20100712	POM	16.6	16.67	16.44	16.58	18350
20100713	POM	16.73	16.84	16.5	16.64	23281
20100714	POM	16.63	16.63	16.38	16.46	29061
20100715	POM	16.42	16.67	16.31	16.65	24813
20100716	POM	16.6	16.65	16.17	16.18	19218
20100719	POM	16.26	16.52	16.18	16.44	14211
20100720	POM	16.33	16.52	16.21	16.48	27407
20100721	POM	16.53	16.63	16.29	16.35	20169
20100722	POM	16.59	16.85	16.5	16.77	27590
20100723	POM	16.8	17.0601	16.69	17	26149
20100726	POM	16.97	17.1	16.92	17.07	15016
20100727	POM	17.13	17.42	17.1	17.42	22783
20100728	POM	17.33	17.47	17.26	17.33	27836
20100729	POM	17.48	17.49	17.01	17.04	32713
20100730	POM	16.94	17.01	16.79	16.91	20636
20100802	POM	17.11	17.2	17.01	17.18	18357
20100803	POM	17.18	17.3	17.1129	17.17	13440
20100804	POM	17.25	17.28	17.08	17.28	18628
20100805	POM	17.23	17.3	17.12	17.23	17137
20100806	POM	17.19	17.35	17.05	17.33	19637
20100809	POM	17.42	17.62	17.35	17.56	19204
20100810	POM	17.45	17.77	17.37	17.7	24697
20100811	POM	17.5	17.51	17.2095	17.22	23671
20100812	POM	17.09	17.32	16.97	17.26	20419
20100813	POM	17.24	17.58	17.205	17.52	19105
20100816	POM	17.5	17.73	17.33	17.66	33078
20100817	POM	17.72	18.07	17.7	17.99	23224
20100819	POM	17.84	17.88	17.65	17.77	27590
20100820	POM	17.62	17.89	17.56	17.85	22347
20090821	PPG	53.74	54.7	53.31	54.55	11416
20090824	PPG	54.88	55.23	54.01	54.15	9693
20090825	PPG	54.6	55.43	54.16	54.29	13156
20090826	PPG	54.16	54.75	53.5	53.74	13176
20090827	PPG	53.66	55.41	53.06	55.19	25837
20090828	PPG	55.54	56.42	54.9	55.94	24819
20090831	PPG	55.24	55.47	54.77	55.4	12905
20090901	PPG	55.07	55.86	53.93	54.08	17449
20090902	PPG	53.82	54.19	53.31	53.93	16822
20090903	PPG	54.3	54.3	53.47	54.11	13876
20090904	PPG	54.06	54.92	53.5	54.89	15748
20090909	PPG	55.29	56.64	54.84	56.46	25437
20090910	PPG	56.4	57.08	55.91	56.99	23876
20090911	PPG	57.22	57.65	56.72	57.3	15808
20090914	PPG	56.94	57.95	56.52	57.91	10664
20090915	PPG	57.92	59.6	57.58	59.41	22421
20090916	PPG	60.05	60.45	59.67	59.89	28898
20090917	PPG	59.95	60.23	58.8608	59.28	23684
20090918	PPG	59.41	60.01	59.33	59.65	17716
20090921	PPG	58.82	60.01	58.43	59.69	19786
20090922	PPG	60.43	60.44	59.85	60.12	13268
20090923	PPG	60.38	60.38	59	59.05	17845
20090924	PPG	59.33	59.63	58.17	58.52	10548
20090925	PPG	58.1	58.52	57.33	57.65	11980
20090928	PPG	58.05	59.25	57.81	58.76	10460
20090929	PPG	58.75	59.51	58.62	58.74	10095
20090930	PPG	58.78	59.03	57.63	58.21	22816
20091001	PPG	58.2	58.34	56.49	56.56	14964
20091002	PPG	55.94	56.93	55.27	56.26	11787
20091005	PPG	56.52	57.64	56.2	57.54	10690
20091006	PPG	58.03	58.81	57	58.03	13972
20091007	PPG	58.03	58.32	57.45	57.87	6798
20091008	PPG	58.47	59.37	58.29	59.22	12116
20091009	PPG	59.29	59.76	58.92	59.75	7849
20091012	PPG	59.74	60.48	59.69	60.11	8149
20091013	PPG	59.8	60.71	59.72	60.64	8181
20091014	PPG	61.11	61.85	61.06	61.53	14411
20091015	PPG	59.85	62.23	59.85	62.08	26510
20091016	PPG	61.89	61.89	60.73	61.3	18791
20091019	PPG	61.17	62.31	61.17	61.97	10770
20091020	PPG	61.92	61.92	60.62	61.21	10111
20091021	PPG	61.21	61.87	59.54	59.67	15796
20091022	PPG	59.67	60.86	58.95	60.68	12590
20091023	PPG	60.72	60.97	59.02	59.34	10983
20091026	PPG	59.34	60.14	57.82	58.21	14369
20091027	PPG	58.07	59.47	58.02	59	17825
20091028	PPG	58.99	59.57	57.13	57.25	22304
20091105	PPG	58.145	59.35	57.95	59.19	10165
20091106	PPG	58.61	59.51	58.206	58.8	10648
20091109	PPG	59.27	60.87	59.16	60.87	10787
20091110	PPG	60.71	61.25	60.41	60.97	10809
20091111	PPG	61.49	61.73	60.79	61.18	8181
20091112	PPG	61.1	61.2	59.81	60.23	10876
20091113	PPG	60.4	60.86	59.76	60.36	9662
20091116	PPG	60.72	61.66	60.72	61.43	9289
20091117	PPG	61.13	61.5	60.78	61.26	7409
20091118	PPG	61.39	61.39	60.08	60.51	11036
20091119	PPG	60.17	60.17	58.91	59.48	12232
20091120	PPG	59.09	59.53	58.67	59.25	10925
20091123	PPG	59.79	61.1498	59.79	60.53	19677
20091124	PPG	60.39	60.85	59.69	59.85	13479
20091125	PPG	60.12	60.97	59.91	60.67	5869
20091127	PPG	59.24	60.07	58.81	59.33	4089
